year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2013,12,2013-03-18,2013-03-22,2013-03-20,,2013-03-19,1.0,0.0,5,DELL | GNW | NFLX | NYX | THC,DELL:0.2000000000 | GNW:0.2000000000 | NFLX:0.2000000000 | NYX:0.2000000000 | THC:0.2000000000,2013-03-19,469
2013,13,2013-03-25,2013-03-28,2013-03-27,,2013-03-26,1.0,0.0,5,AVP | BBY | DELL | HPQ | NFLX,AVP:0.2000000000 | BBY:0.2000000000 | DELL:0.2000000000 | HPQ:0.2000000000 | NFLX:0.2000000000,2013-03-19,469
2013,14,2013-04-01,2013-04-05,2013-04-04,,2013-04-03,1.0,0.0,5,AVP | BBY | DELL | HPQ | NFLX,AVP:0.2000000000 | BBY:0.2000000000 | DELL:0.2000000000 | HPQ:0.2000000000 | NFLX:0.2000000000,2013-04-05,469
2013,15,2013-04-08,2013-04-12,2013-04-11,,2013-04-10,1.0,0.0,5,AVP | BBY | DELL | HPQ | NFLX,AVP:0.2000000000 | BBY:0.2000000000 | DELL:0.2000000000 | HPQ:0.2000000000 | NFLX:0.2000000000,2013-04-09,469
2013,16,2013-04-15,2013-04-19,2013-04-18,,2013-04-17,1.0,0.0,5,AVP | BBY | HPQ | NFLX | PBI,AVP:0.2000000000 | BBY:0.2000000000 | HPQ:0.2000000000 | NFLX:0.2000000000 | PBI:0.2000000000,2013-04-19,469
2013,17,2013-04-22,2013-04-26,2013-04-25,,2013-04-24,1.0,0.0,5,BBY | HPQ | MU | NFLX | PBI,BBY:0.2000000000 | HPQ:0.2000000000 | MU:0.2000000000 | NFLX:0.2000000000 | PBI:0.2000000000,2013-04-26,469
2013,18,2013-04-29,2013-05-03,2013-05-02,,2013-05-01,1.0,0.0,5,BBY | HPQ | MU | PBI | SWY,BBY:0.2000000000 | HPQ:0.2000000000 | MU:0.2000000000 | PBI:0.2000000000 | SWY:0.2000000000,2013-05-02,470
2013,19,2013-05-06,2013-05-10,2013-05-09,,2013-05-08,1.0,0.0,5,BBY | HPQ | MU | STZ | SWY,BBY:0.2000000000 | HPQ:0.2000000000 | MU:0.2000000000 | STZ:0.2000000000 | SWY:0.2000000000,2013-05-10,470
2013,20,2013-05-13,2013-05-17,2013-05-16,,2013-05-15,1.0,0.0,5,BBY | HPQ | MU | STZ | SWY,BBY:0.2000000000 | HPQ:0.2000000000 | MU:0.2000000000 | STZ:0.2000000000 | SWY:0.2000000000,2013-05-17,470
2013,21,2013-05-20,2013-05-24,2013-05-23,,2013-05-22,1.0,0.0,5,BBY | GME | MU | REGN | SWY,BBY:0.2000000000 | GME:0.2000000000 | MU:0.2000000000 | REGN:0.2000000000 | SWY:0.2000000000,2013-05-24,470
