year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2012,39,2012-09-24,2012-09-28,2012-09-24,,2012-09-21,1.0,0.0,5,FSLR | PHM | S | STX | STZ,FSLR:0.2000000000 | PHM:0.2000000000 | S:0.2000000000 | STX:0.2000000000 | STZ:0.2000000000,2012-09-25,468
2012,40,2012-10-01,2012-10-05,2012-10-01,,2012-09-28,1.0,0.0,5,FSLR | PHM | S | STX | STZ,FSLR:0.2000000000 | PHM:0.2000000000 | S:0.2000000000 | STX:0.2000000000 | STZ:0.2000000000,2012-10-05,471
2012,41,2012-10-08,2012-10-12,2012-10-08,,2012-10-05,1.0,0.0,5,ES | FSLR | PHM | S | WDC,ES:0.2000000000 | FSLR:0.2000000000 | PHM:0.2000000000 | S:0.2000000000 | WDC:0.2000000000,2012-10-08,471
2012,42,2012-10-15,2012-10-19,2012-10-15,,2012-10-12,1.0,0.0,5,ES | FSLR | PHM | S | WDC,ES:0.2000000000 | FSLR:0.2000000000 | PHM:0.2000000000 | S:0.2000000000 | WDC:0.2000000000,2012-10-19,471
2012,43,2012-10-22,2012-10-26,2012-10-22,,2012-10-19,1.0,0.0,5,AKAM | ES | FSLR | PHM | S,AKAM:0.2000000000 | ES:0.2000000000 | FSLR:0.2000000000 | PHM:0.2000000000 | S:0.2000000000,2012-10-23,471
2012,44,2012-10-31,2012-11-02,2012-10-31,,2012-10-26,1.0,0.0,5,DF | ES | FSLR | PHM | S,DF:0.2000000000 | ES:0.2000000000 | FSLR:0.2000000000 | PHM:0.2000000000 | S:0.2000000000,2012-10-23,471
2012,45,2012-11-05,2012-11-09,2012-11-07,,2012-11-06,1.0,0.0,5,DF | ES | FOSL | PHM | THC,DF:0.2000000000 | ES:0.2000000000 | FOSL:0.2000000000 | PHM:0.2000000000 | THC:0.2000000000,2012-11-06,471
2012,46,2012-11-12,2012-11-16,2012-11-14,,2012-11-13,1.0,0.0,5,CVH | ES | GME | PHM | WPX,CVH:0.2000000000 | ES:0.2000000000 | GME:0.2000000000 | PHM:0.2000000000 | WPX:0.2000000000,2012-11-14,471
2012,47,2012-11-19,2012-11-23,2012-11-21,,2012-11-20,1.0,0.0,5,C | ES | PHM | SEE | WPX,C:0.2000000000 | ES:0.2000000000 | PHM:0.2000000000 | SEE:0.2000000000 | WPX:0.2000000000,2012-11-14,471
2012,48,2012-11-26,2012-11-30,2012-11-29,,2012-11-28,1.0,0.0,5,C | GME | PHM | SEE | WHR,C:0.2000000000 | GME:0.2000000000 | PHM:0.2000000000 | SEE:0.2000000000 | WHR:0.2000000000,2012-11-27,471
2012,49,2012-12-03,2012-12-07,2012-12-06,,2012-12-05,1.0,0.0,5,C | FSLR | NFLX | PHM | WHR,C:0.2000000000 | FSLR:0.2000000000 | NFLX:0.2000000000 | PHM:0.2000000000 | WHR:0.2000000000,2012-12-07,471
2012,50,2012-12-10,2012-12-14,2012-12-13,,2012-12-12,1.0,0.0,5,ES | FSLR | NFLX | PHM | WHR,ES:0.2000000000 | FSLR:0.2000000000 | NFLX:0.2000000000 | PHM:0.2000000000 | WHR:0.2000000000,2012-12-13,471
2012,51,2012-12-17,2012-12-21,2012-12-20,,2012-12-19,1.0,0.0,5,ANF | NFLX | THC | TIE | WHR,ANF:0.2000000000 | NFLX:0.2000000000 | THC:0.2000000000 | TIE:0.2000000000 | WHR:0.2000000000,2012-12-21,471
2012,52,2012-12-24,2012-12-28,2012-12-28,2012-12-24,2012-12-27,1.0,0.0,5,ANF | ES | FSLR | NFLX | THC,ANF:0.2000000000 | ES:0.2000000000 | FSLR:0.2000000000 | NFLX:0.2000000000 | THC:0.2000000000,2012-12-28,470
