effective_session,source_signal_date,rebalance_at_open,forced_universe_exit_at_open,buy,sell,held_during_session,target_weights,gross_target,cash_target
2015-03-02,2015-02-27,True,False,NFLX,KMX,AVGO | NEM | NFLX | RCL | SPLS,AVGO:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | RCL:0.2000000000 | SPLS:0.2000000000,1.0,0.0
2015-03-09,2015-03-06,True,False,HAR | NFX,AVGO | RCL,HAR | NEM | NFLX | NFX | SPLS,HAR:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | NFX:0.2000000000 | SPLS:0.2000000000,1.0,0.0
2015-03-16,2015-03-13,True,False,HSP,SPLS,HAR | HSP | NEM | NFLX | NFX,HAR:0.2000000000 | HSP:0.2000000000 | NEM:0.2000000000 | NFLX:0.2000000000 | NFX:0.2000000000,1.0,0.0
2015-04-14,2015-04-13,True,False,ES,NEM,ES | HAR | HSP | NFLX | NFX,ES:0.2000000000 | HAR:0.2000000000 | HSP:0.2000000000 | NFLX:0.2000000000 | NFX:0.2000000000,1.0,0.0
2015-04-28,2015-04-27,True,False,FSLR,NFLX,ES | FSLR | HAR | HSP | NFX,ES:0.2000000000 | FSLR:0.2000000000 | HAR:0.2000000000 | HSP:0.2000000000 | NFX:0.2000000000,1.0,0.0
2015-05-05,2015-05-04,True,False,KRFT,HAR,ES | FSLR | HSP | KRFT | NFX,ES:0.2000000000 | FSLR:0.2000000000 | HSP:0.2000000000 | KRFT:0.2000000000 | NFX:0.2000000000,1.0,0.0
2015-05-12,2015-05-11,True,False,ALTR,HSP,ALTR | ES | FSLR | KRFT | NFX,ALTR:0.2000000000 | ES:0.2000000000 | FSLR:0.2000000000 | KRFT:0.2000000000 | NFX:0.2000000000,1.0,0.0
2015-05-27,2015-05-26,True,False,MYL | RRC,ALTR | ES,FSLR | KRFT | MYL | NFX | RRC,FSLR:0.2000000000 | KRFT:0.2000000000 | MYL:0.2000000000 | NFX:0.2000000000 | RRC:0.2000000000,1.0,0.0
2015-06-03,2015-06-02,True,False,ALTR,FSLR,ALTR | KRFT | MYL | NFX | RRC,ALTR:0.2000000000 | KRFT:0.2000000000 | MYL:0.2000000000 | NFX:0.2000000000 | RRC:0.2000000000,1.0,0.0
2015-06-10,2015-06-09,True,False,RIG,NFX,ALTR | KRFT | MYL | RIG | RRC,ALTR:0.2000000000 | KRFT:0.2000000000 | MYL:0.2000000000 | RIG:0.2000000000 | RRC:0.2000000000,1.0,0.0
2015-06-17,2015-06-16,True,False,NFLX,MYL,ALTR | KRFT | NFLX | RIG | RRC,ALTR:0.2000000000 | KRFT:0.2000000000 | NFLX:0.2000000000 | RIG:0.2000000000 | RRC:0.2000000000,1.0,0.0
2015-06-24,2015-06-23,True,False,NE,RRC,ALTR | KRFT | NE | NFLX | RIG,ALTR:0.2000000000 | KRFT:0.2000000000 | NE:0.2000000000 | NFLX:0.2000000000 | RIG:0.2000000000,1.0,0.0
2015-07-01,2015-06-30,True,False,BRCM | CVC,KRFT | NE,ALTR | BRCM | CVC | NFLX | RIG,ALTR:0.2000000000 | BRCM:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000 | RIG:0.2000000000,1.0,0.0
2015-07-16,2015-07-15,True,False,AGN,RIG,AGN | ALTR | BRCM | CVC | NFLX,AGN:0.2000000000 | ALTR:0.2000000000 | BRCM:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000,1.0,0.0
2015-08-06,2015-08-05,True,False,THC,BRCM,AGN | ALTR | CVC | NFLX | THC,AGN:0.2000000000 | ALTR:0.2000000000 | CVC:0.2000000000 | NFLX:0.2000000000 | THC:0.2000000000,1.0,0.0
2015-08-20,2015-08-19,True,False,ALXN | CB | GOOGL,ALTR | CVC | THC,AGN | ALXN | CB | GOOGL | NFLX,AGN:0.2000000000 | ALXN:0.2000000000 | CB:0.2000000000 | GOOGL:0.2000000000 | NFLX:0.2000000000,1.0,0.0
2015-08-27,2015-08-26,True,False,,,AGN | ALXN | CB | GOOGL | NFLX,AGN:0.1000000000 | ALXN:0.1000000000 | CB:0.1000000000 | GOOGL:0.1000000000 | NFLX:0.1000000000,0.5,0.5
2015-09-11,2015-09-10,True,False,TE,ALXN,AGN | CB | GOOGL | NFLX | TE,AGN:0.1000000000 | CB:0.1000000000 | GOOGL:0.1000000000 | NFLX:0.1000000000 | TE:0.1000000000,0.5,0.5
2015-09-18,2015-09-17,True,False,GOOG,AGN,CB | GOOG | GOOGL | NFLX | TE,CB:0.2000000000 | GOOG:0.2000000000 | GOOGL:0.2000000000 | NFLX:0.2000000000 | TE:0.2000000000,1.0,0.0
2015-09-25,2015-09-24,True,False,,,CB | GOOG | GOOGL | NFLX | TE,CB:0.1000000000 | GOOG:0.1000000000 | GOOGL:0.1000000000 | NFLX:0.1000000000 | TE:0.1000000000,0.5,0.5
2015-10-02,2015-10-01,True,False,CAM,CB,CAM | GOOG | GOOGL | NFLX | TE,CAM:0.2000000000 | GOOG:0.2000000000 | GOOGL:0.2000000000 | NFLX:0.2000000000 | TE:0.2000000000,1.0,0.0
2015-10-09,2015-10-08,True,False,GAS,NFLX,CAM | GAS | GOOG | GOOGL | TE,CAM:0.2000000000 | GAS:0.2000000000 | GOOG:0.2000000000 | GOOGL:0.2000000000 | TE:0.2000000000,1.0,0.0
