year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2015,42,2015-10-12,2015-10-16,2015-10-16,,2015-10-15,1.0,0.0,5,CAM | GAS | MAS | RIG | TE,CAM:0.2000000000 | GAS:0.2000000000 | MAS:0.2000000000 | RIG:0.2000000000 | TE:0.2000000000,2015-10-16,484
2015,43,2015-10-19,2015-10-23,2015-10-23,,2015-10-22,1.0,0.0,5,CAM | CVC | GAS | MAS | TE,CAM:0.2000000000 | CVC:0.2000000000 | GAS:0.2000000000 | MAS:0.2000000000 | TE:0.2000000000,2015-10-16,484
2015,44,2015-10-26,2015-10-30,2015-10-30,,2015-10-29,1.0,0.0,5,CAM | CVC | GAS | NVDA | TE,CAM:0.2000000000 | CVC:0.2000000000 | GAS:0.2000000000 | NVDA:0.2000000000 | TE:0.2000000000,2015-10-28,484
2015,45,2015-11-02,2015-11-06,2015-11-06,,2015-11-05,1.0,0.0,5,CAM | CVC | FCX | GAS | TE,CAM:0.2000000000 | CVC:0.2000000000 | FCX:0.2000000000 | GAS:0.2000000000 | TE:0.2000000000,2015-11-05,484
2015,46,2015-11-09,2015-11-13,2015-11-13,,2015-11-12,1.0,0.0,5,CAM | CVC | FCX | GAS | TE,CAM:0.2000000000 | CVC:0.2000000000 | FCX:0.2000000000 | GAS:0.2000000000 | TE:0.2000000000,2015-11-10,485
2015,47,2015-11-16,2015-11-20,2015-11-20,,2015-11-19,1.0,0.0,5,CAM | CVC | FCX | GAS | TE,CAM:0.2000000000 | CVC:0.2000000000 | FCX:0.2000000000 | GAS:0.2000000000 | TE:0.2000000000,2015-11-20,484
2015,48,2015-11-23,2015-11-27,,,2015-11-19,1.0,0.0,5,CAM | CVC | FCX | GAS | TE,CAM:0.2000000000 | CVC:0.2000000000 | FCX:0.2000000000 | GAS:0.2000000000 | TE:0.2000000000,2015-11-25,484
2015,49,2015-11-30,2015-12-04,2015-11-30,,2015-11-27,1.0,0.0,5,CVC | KLAC | NFX | SNDK | TE,CVC:0.2000000000 | KLAC:0.2000000000 | NFX:0.2000000000 | SNDK:0.2000000000 | TE:0.2000000000,2015-12-03,485
2015,50,2015-12-07,2015-12-11,2015-12-07,,2015-12-04,1.0,0.0,5,FCX | KLAC | RIG | SNDK | TE,FCX:0.2000000000 | KLAC:0.2000000000 | RIG:0.2000000000 | SNDK:0.2000000000 | TE:0.2000000000,2015-12-09,485
2015,51,2015-12-14,2015-12-18,2015-12-14,,2015-12-11,1.0,0.0,5,ADSK | APA | KLAC | NVDA | SNDK,ADSK:0.2000000000 | APA:0.2000000000 | KLAC:0.2000000000 | NVDA:0.2000000000 | SNDK:0.2000000000,2015-12-15,485
2015,52,2015-12-21,2015-12-24,2015-12-21,,2015-12-18,0.5,0.5,5,APA | ARG | KLAC | NVDA | SNDK,APA:0.1000000000 | ARG:0.1000000000 | KLAC:0.1000000000 | NVDA:0.1000000000 | SNDK:0.1000000000,2015-12-21,485
2015,53,2015-12-28,2015-12-31,2015-12-29,,2015-12-28,1.0,0.0,5,APA | ARG | FSLR | KLAC | SNDK,APA:0.2000000000 | ARG:0.2000000000 | FSLR:0.2000000000 | KLAC:0.2000000000 | SNDK:0.2000000000,2015-12-31,485
