year,iso_week,week_first_session,week_last_session,rebalance_dates,forced_exit_dates,week_end_source_signal_date,gross_target,cash_target,position_count,held_at_week_end,target_weights_at_week_end,constituent_snapshot_date,tradable_constituent_count
2021,36,2021-09-07,2021-09-10,2021-09-10,,2021-09-09,1.0,0.0,5,ALB | AMD | ENPH | GNRC | MRNA,ALB:0.2000000000 | AMD:0.2000000000 | ENPH:0.2000000000 | GNRC:0.2000000000 | MRNA:0.2000000000,2021-08-30,505
2021,37,2021-09-13,2021-09-17,2021-09-17,,2021-09-16,1.0,0.0,5,ALB | AMD | MRNA | NUE | PAYC,ALB:0.2000000000 | AMD:0.2000000000 | MRNA:0.2000000000 | NUE:0.2000000000 | PAYC:0.2000000000,2021-08-30,505
2021,38,2021-09-20,2021-09-24,2021-09-24,,2021-09-23,1.0,0.0,5,ALB | AMD | MRNA | NUE | PAYC,ALB:0.2000000000 | AMD:0.2000000000 | MRNA:0.2000000000 | NUE:0.2000000000 | PAYC:0.2000000000,2021-09-20,505
2021,39,2021-09-27,2021-10-01,2021-10-01,,2021-09-30,1.0,0.0,5,ALB | AMD | MRNA | NUE | PAYC,ALB:0.2000000000 | AMD:0.2000000000 | MRNA:0.2000000000 | NUE:0.2000000000 | PAYC:0.2000000000,2021-09-20,505
2021,40,2021-10-04,2021-10-08,2021-10-08,,2021-10-07,1.0,0.0,5,ALB | AMD | DXCM | MRNA | PAYC,ALB:0.2000000000 | AMD:0.2000000000 | DXCM:0.2000000000 | MRNA:0.2000000000 | PAYC:0.2000000000,2021-10-04,505
2021,41,2021-10-11,2021-10-15,2021-10-15,,2021-10-14,1.0,0.0,5,ALB | AMD | DXCM | MRNA | PAYC,ALB:0.2000000000 | AMD:0.2000000000 | DXCM:0.2000000000 | MRNA:0.2000000000 | PAYC:0.2000000000,2021-10-04,505
2021,42,2021-10-18,2021-10-22,2021-10-22,,2021-10-21,1.0,0.0,5,ALB | CZR | DXCM | MRNA | PAYC,ALB:0.2000000000 | CZR:0.2000000000 | DXCM:0.2000000000 | MRNA:0.2000000000 | PAYC:0.2000000000,2021-10-04,505
2021,43,2021-10-25,2021-10-29,2021-10-29,,2021-10-28,1.0,0.0,5,CZR | DVN | FANG | MRO | PAYC,CZR:0.2000000000 | DVN:0.2000000000 | FANG:0.2000000000 | MRO:0.2000000000 | PAYC:0.2000000000,2021-10-04,505
2021,44,2021-11-01,2021-11-05,2021-11-05,,2021-11-04,1.0,0.0,5,CTRA | CZR | DVN | FANG | MRO,CTRA:0.2000000000 | CZR:0.2000000000 | DVN:0.2000000000 | FANG:0.2000000000 | MRO:0.2000000000,2021-10-04,505
2021,45,2021-11-08,2021-11-12,2021-11-12,,2021-11-11,1.0,0.0,5,CTRA | CZR | DVN | FANG | MRO,CTRA:0.2000000000 | CZR:0.2000000000 | DVN:0.2000000000 | FANG:0.2000000000 | MRO:0.2000000000,2021-10-04,505
2021,46,2021-11-15,2021-11-19,2021-11-19,,2021-11-18,1.0,0.0,5,APA | CTRA | DVN | FANG | MRO,APA:0.2000000000 | CTRA:0.2000000000 | DVN:0.2000000000 | FANG:0.2000000000 | MRO:0.2000000000,2021-10-04,505
2021,47,2021-11-22,2021-11-26,,,2021-11-18,1.0,0.0,5,APA | CTRA | DVN | FANG | MRO,APA:0.2000000000 | CTRA:0.2000000000 | DVN:0.2000000000 | FANG:0.2000000000 | MRO:0.2000000000,2021-10-04,505
2021,48,2021-11-29,2021-12-03,2021-11-29,,2021-11-26,1.0,0.0,5,APA | CTRA | DVN | FANG | MRO,APA:0.2000000000 | CTRA:0.2000000000 | DVN:0.2000000000 | FANG:0.2000000000 | MRO:0.2000000000,2021-10-04,505
2021,49,2021-12-06,2021-12-10,2021-12-06,,2021-12-03,1.0,0.0,5,APA | CTRA | DVN | FANG | MRO,APA:0.2000000000 | CTRA:0.2000000000 | DVN:0.2000000000 | FANG:0.2000000000 | MRO:0.2000000000,2021-10-04,505
2021,50,2021-12-13,2021-12-17,2021-12-13,,2021-12-10,1.0,0.0,5,APA | CTRA | DVN | FANG | MRO,APA:0.2000000000 | CTRA:0.2000000000 | DVN:0.2000000000 | FANG:0.2000000000 | MRO:0.2000000000,2021-12-14,505
2021,51,2021-12-20,2021-12-23,2021-12-20,,2021-12-17,1.0,0.0,5,APA | CTRA | DVN | ENPH | MRO,APA:0.2000000000 | CTRA:0.2000000000 | DVN:0.2000000000 | ENPH:0.2000000000 | MRO:0.2000000000,2021-12-20,505
2021,52,2021-12-27,2021-12-31,2021-12-28,,2021-12-27,1.0,0.0,5,CTRA | DLTR | DVN | ENPH | NVDA,CTRA:0.2000000000 | DLTR:0.2000000000 | DVN:0.2000000000 | ENPH:0.2000000000 | NVDA:0.2000000000,2021-12-20,505
